No,Istilah,Definisi
37,ammendements of the statutes/perubahan anggaran dasar,"dalam hukum perusahaan berarti tindakan mengubah anggaran dasar suatu perseroan yang ditetapkan oleh Rapat Umum Pemegang Saham dalam bentuk akta notaris, serta harus mendapatkan persetujuan Menteri yang berwenang untuk kemudian didaftarkan dalam Daftar Perusahaan."
38,amortization/ amortisatie (Bld,pernyataan tidak sah atau tidak berlaku lagi.
39,ampu - pengampu/guardian,"orang atau badan yang mempunyai tanggung jawab hukum untuk mewakili seseorang yang tidak mampu menangani urusannya, misalnya orang tua yang mewakili anak yang belum dewasa untuk mengurus kekayaan dan kepentingannya."
40,ampu - pengampuan/curate/curandus,pengurusan harta dan kepentingan seseorang oleh orang atau pihak lain yang ditunjuk oleh pengadilan karena orang tersebut mempunyai kelainan jiwa ataupun boros.
41,anak perusahaan/subsidiary company,perusahaan yang turut atau sepenuhnya dikendalikan oleh perusahaan lain karena sebagian besar atau seluruh modalnya dimiliki oleh perusahan lain tersebut; sin. perusahaan anak.
42,analogi/analogie/analogy,"1. menyamakan; menyamaratakan; membuat persamaan arti atau maksud berdasarkan perbandingan kata-kata, pengertian yang ada atau peristiwa (tindak pidana). 2. analogi positif : menyamakan dengan betul; analogi negatif (a contrario): menyamakan yang salah."
43,anggaran,"pedoman tindakan yang akan dilaksanakan pemerintah meliputi rencana pendapatan, belanja, transfer, dan pembiayaan yang diukur dalam satuan rupiah, yang disusun menurut klasifikasi tertentu secara sistematis untuk satu periode."
44,anggota sindikasi/syndicate member,1. anggota dari suatu kelompok investor (dalam hal ini adalah bank) yang membiayai suatu proyek 2. anggota dari suatu kelompok investor yang bertindak sebagai penjamin dalam penerbitan saham.
45,anjak - penganjak piutang/factor,pihak yang kegiatannya membeli piutang pihak lain dengan menanggung risiko tak terbayarnya utang.
46,anjak piutang/factoring,kegiatan pembiayaan dalam bentuk pembelian dan/atau pengalihan serta pengurusan piutang atau tagihan jangka pendek suatu perusahaan atas transaksi perdagangan dalam atau luar negeri; perusahaan yang melakukan anjak piutang disebut perusahaan anjak piutang.
47,annul,"mengakhiri, membatalkan."
48,annulment/pembatalan,"pembatalan putusan pengadilan dikarenakan sebab-sebab tertentu sebagaimana ditentukan oleh undang-undang, misalnya karena ternyata pengadilan tersebut tak berwenang untuk memeriksa perkara."
49,anotasi/annotation/annotatie/verklarende/aantekeningen,"suatu catatan singkat tentang penjelasan fakta dan putusan dalam suatu kasus, khususnya interpretasi dari segi hukum."
50,antara - perantara pemasaran/middleman,"perantara yang menghubungkan produsen dan konsumen, atau pedagang besar dan konsumen; seringkali perantara tersebut mengambil risiko besar dengan memesan dan menyimpan barang sebelum mereka memperoleh kontrak penjualan, biasanya mereka membeli dengan jumlah besar dan menjual secara eceran; mereka juga menyetujui biaya distribusi dan laba antara harga pembelian dan penjualan, biasanya sampai dengan 5%."
51,anti dumping duty/bea anti dumping,aturan hukum yang disepakati oleh negara-negara anggota GATT yang menetapkan standar prosedural maupun substantif untuk mencegah tindakan dumping di negara-negara anggota GATT yang menandatangani aturan tersebut.
52,anti dumping tarrif/tarif anti dumping/bea masuk anti dumping,pungutan negara pengimpor yang dikenakan terhadap barang dumping yang menyebabkan kerugian produsen lokal yang memproduksi produk serupa.
53,anti-trust/anti monopoli,kebijakan atau tindakan yang berusaha membatasi atau mencegah terjadinya situasi dan kondisi monopolis di sektor ekonomi dan/atau praktik curang.
54,APBD,"1. Anggaran Pendapatan dan Belanja Daerah, rencana keuangan tahunan pemerintahan daerah yang disetujui oleh DPRD; 2. suatu rencana keuangan tahunan daerah yang ditetapkan berdasarkan Peraturan Daerah tentang APBD."
55,APBN,1. rencana keuangan tahunan pemerintahan negara yang disetujui oleh DPR; 2. suatu rencana keuangan tahunan negara yang ditetapkan dengan undang-undang.
56,APBN-Perubahan,perubahan atas undang-undang APBN yang ditetapkan dalam undang-undang.
57,appraisal/appraisement/taxatie,taksiran nilai barang dalam perjanjian oleh pihak ketiga yang tidak memihak.
58,appraiser/penaksir/penakar,orang yang memiliki kemampuan secara profesional untuk menaksir/menghitung nilai atau harga atas suatu barang atau kerugian yang timbul akibat musnah/rusaknya suatu barang.
59,arbiter/arbitrator,seorang atau lebih yang dipilih oleh para pihak yang bersengketa atau yang ditunjuk oleh pengadilan negeri atau oleh lembaga arbitrase untuk memberikan putusan mengenai sengketa tertentu yang diserahkan penyelesaiannya melalui arbitrase.
60,arbitrase/arbitration,penyelesaian perselisihan di luar pengadilan oleh pihak ketiga sebagai penengah (arbiter/arbitrator) yang ditunjuk oleh pihak yang berselisih; setiap putusan yang diambil oleh arbiter bersifat mengikat dan harus ditaati oleh semua pihak yang berselisih.
61,arsip data komputer (ADK),"arsip data berupa disket atau media penyimpan digital lainnya yang berisikan data transaksi, data buku besar, dan/atau data lainnya."
62,articles of association/akta pendirian persekutuan atau perseroan,dokumen hukum yang dibuat di depan dan oleh notaris publik yang menyatakan pendirian suatu persekutuan.
63,asas kerugian/principle of indemnity,prinsip yang menyatakan bahwa tertanggung hanya berhak atas penggantian setinggi-tingginya sebesar kerugian yang nyata-nyata dideritanya.
64,asas prudensial perbankan,"salah satu upaya untuk meminimalkan risiko usaha dalam pengelolaan bank, baik melalui ketentuan yang ditetapkan oleh Bank Indonesia maupun ketentuan intern bank yang bersangkutan."
65,asas subrogasi/principle of subrogation,prinsip yang menyatakan bahwa penanggung berhak mendapatkan pembayaran kembali atas ganti rugi yang telah diberikan penanggung kepada kreditur.
66,asersi manajemen,pernyataan manajemen yang terkandung di dalam komponen laporan keuangan. Pernyataan tersebut dapat bersifat implisit atau eksplisit serta dapat diklasifikasikan berdasarkan penggolongan besar sebagai berikut ini: (a) keberadaan atau keterjadian; (b) kelengkapan; (c) hak dan kewajiban; (d) penilaian dan alokasi; (e) penyajian dan pengungkapan.
67,asersi/assertion,"1. pernyataan atau rangkaian pernyataan yang dibuat oleh manajemen tentang suatu hal yang berdasarkan atau sesuai dengan kriteria yang telah ditetapkan; 2. suatu deklarasi, atau suatu rangkaian deklarasi secara keseluruhan, oleh pihak yang bertanggung jawab atas deklarasi tersebut; 3. semua hal yang diperiksa, baik yang dinyatakan maupun yang tidak dinyatakan oleh pihak yang diperiksa dan atau pihak yang meminta pemeriksaan."
68,assess,"menilai, menaksir; menentukan nilai dari kekayaan atau jumlah pemasukan."
69,assessment,"penilaian, penaksiran."
70,assets/aktiva/kekayaan,"semua pos pada jalur debet suatu neraca keuangan yang terdiri dari harta, piutang, biaya yang dibayar terlebih dahulu, dan pendapatan yang masih harus diterima; properti atau harta benda yang dimiliki seseorang atau badan hukum; modal, kekayaan atau kepemilikan; aset negara dan sebagainya."
71,assignment/pengalihan hak,pihak yang melakukan pengalihan atas suatu alas hak yang sah ke pihak lainnya.
72,assumption,"anggapan, praduga."
73,asuransi berlebih/overinsurance,kondisi dalam penutupan pertanggungan yang jumlah pertanggungannya lebih tinggi daripada nilai pasar objek asuransi itu sendiri.
74,asuransi kebakaran/fire insurance,asuransi mengenai pertanggungan risiko atas barang-barang terhadap bahaya kebakaran dalam jangka waktu tertentu.
75,asuransi kelompok/group insurance,"asuransi terhadap bahaya kematian, kecelakaan, dan lain-lain untuk tertanggung yang terdiri atas sekelompok orang yang homogen dengan menggunakan satu polis."
76,asuransi kredit/credit insurance,asuransi yang memberikan pertanggungan kepada kreditur atas risiko terjadinya kerugian karena kredit macet.
77,asuransi kurang/underinsurance,asuransi yang ditutup dengan nilai tanggungan lebih rendah daripada nilai barang atau jumlah risiko.
78,asuransi laut/marine insurance,"asuransi pengangkutan yang berhubungan dengan kapal laut dan muatannya; asuransi tersebut menanggung segala risiko akibat bahaya di laut pada pelayaran tertentu untuk jangka waktu tertentu, kecuali yang secara tegas dinyatakan tidak ditanggung."
79,asuransi pihak ketiga/liability insurance,asuransi mengenai pertanggungan risiko karena bahaya tuntutan ganti rugi dari pihak ketiga.
80,asuransi segala risiko/all risk insurance,"asuransi yang pertanggungannya mencakup segala macam risiko, kecuali bahaya yang secara tegas dinyatakan tidak ditanggung."
81,asuransi/insurance,"1. perjanjian antara penanggung dan tertanggung, yang mewajibkan tertanggung membayar sejumlah premi untuk memberikan penggantian atas risiko kerugian, kerusakan, kematian, atau kehilangan keuntungan yang diharapkan, yang mungkin akan diderita karena suatu peristiwa yang tidak terduga; 2. asuransi, pertanggungan; perjanjian antara dua pihak atau lebih dengan mana pihak penanggung mengikatkan diri kepada tertanggung dengan menerima premi asuransi, untuk memberikan penggantian kepada tertanggung karena kerugian, kerusakan, atau kehilangan keuntungan yang diharapkan, atau tanggung jawab hukum kepada pihak ketiga yang mungkin akan diderita tertanggung, yang timbul dari suatu peristiwa yang tidak pasti, atau memberikan suatu pembayaran yang didasarkan atas kematian atau hidupnya seseorang yang dipertanggungkan."
82,at cost,pertanggungjawaban biaya pelaksanaan sesuai dengan biaya yang sesungguhnya berdasarkan bukti pengeluaran yang ada.
83,attachment/sita jaminan,"tindakan penyitaan oleh kreditur atas kekayaan yang berada dalam penguasaan debitur untuk pelunasan hutangnya sewaktu sengketa masih dalam proses pengadilan, dimaksudkan sebagai langkah pengaman bagi kreditur agar debitur tidak menghilangkan atau mengalihkan kekayaan tersebut ke pihak ketiga."
84,Audit,"pemeriksaan keuangan, memeriksa pembukuan, suatu pemeriksaan resmi mengenai perkembangan situasi keuangan dari perorangan atau suatu organisasi (umum). ~ lihat pemeriksaan."
85,auditor/pemeriksa/pemeriksa keuangan negara,orang yang melaksanakan tugas pemeriksaan pengelolaan dan tanggung jawab keuangan negara untuk dan atas nama BPK.
86,auditu/testimonium,kesaksian menurut kata orang.
87,authentic document/dokumen otentik,"dokumen hukum yang asli atau otentik, dapat berupa dokumen yang dibuat oleh petugas yang berwenang untuk itu."
88,authentication/legalisatie,"pengesahan, tindakan untuk membuktikan bahwa sesuatu (dokumen) adalah benar atau asli yang dapat dibenarkan sebagai bukti."
89,authorization/otorisasi/pengesahan,perbuatan hukum berupa pengesahan atau pemberian akibat hukum terhadap suatu fakta atau peristiwa.
90,aval,jaminan bahwa pembayaran akan dilakukan.
91,axiom/aksioma,pernyataan yang tidak perlu dibuktikan kebenarannya.
92,badan hukum milik negara/BHMN,"badan hukum yang dimiliki oleh Negara yang bertanggung jawab mengurus, mengelola lembaga-lembaga nirlaba, seperti universitas/sekolah tinggi/institute/akademi yang menyelenggarakan pendidikan tinggi, penelitian dan pengabdian kepada masyarakat serta mengembangkan pendidikan di bidang disiplin ilmu pendidikan, pendidikan disiplin ilmu dan disiplin lain."
93,badan hukum/legal entity,"badan atau organisasi yang oleh hukum diperlakukan sebagai orang, yaitu memegang hak dan menanggung kewajiban."
94,badan layanan umum (BLU),"unit kerja pada departemen/lembaga atau satuan kerja pemerintah daerah yang dibentuk untuk memberikan layanan kepada masyarakat berupa penyediaan barang dan/atau jasa yang dijual tanpa mengutamakan mencari keuntungan, dan dalam melakukan kegiatannya didasarkan pada prinsip efisiensi dan produktivitas."
95,badan layanan umum daerah (BLUD),"SKPD/unit kerja pada SKPD di lingkungan pemerintah daerah yang dibentuk untuk memberikan pelayanan kepada masyarakat berupa penyediaan barang dan/atau jasa yang dijual tanpa mengutamakan mencari keuntungan, dan dalam melakukan kegiatannya didasarkan pada prinsip efisiensi dan produktivitas."
96,badan pemeriksa keuangan/BPK,"1. lembaga negara yang bertugas untuk memeriksa pengelolaan dan tanggung jawab keuangan negara sebagaimana dimaksud dalam Undang-Undang Dasar Negara Republik Indonesia Tahun 1945; 2. satu lembaga negara yang bebas dan mandiri dalam memeriksa pengelolaan dan tanggung jawab keuangan negara [vide: UU No. 15/2006, Pasal 2]."
97,badan usaha milik negara/BUMN,badan usaha yang seluruh atau sebagian besar modalnya dimiliki oleh negara melalui penyertaan secara langsung yang berasal dari kekayaan negara yang dipisahkan [vide UU No. 19/2003].
98,badan usaha/entity,istilah yang lazimnya diartikan sebagai organisasi perusahaan baik yang berstatus badan hukum maupun bukan badan hukum.
99,bagan perkiraan standar (BPS),"daftar perkiraan buku besar yang ditetapkan dan disusun secara sistematis untuk memudahkan perencanaan dan pelaksanaan anggaran, serta pembukuan dan pelaporan keuangan pemerintah."
100,bail bond,bukti tertulis dari penjaminan.
101,bailout,bantuan keuangan atau penyelamatan kepada perusahaan atau bank tertanggung yang mengalami kesulitan.
102,balance,neraca untuk menghitung perbedaan antara debit dan kredit dalam pembukuan perusahaan.
103,balance budget,anggaran berimbang antara jumlah penerimaan yang sekurang-kurangnya sama dengan pengeluaran pada periode tertentu.
104,balance sheet,"suatu laporan keuangan dari suatu badan usaha dalam suatu periode tertentu yang menggambarkan posisi keuangan sesungguhnya, utang dan modal sendiri, untuk melihat keseimbangan antara harta di satu pihak dengan kewajiban dan kejujuran pemiliknya."
105,bank,badan usaha yang menghimpun dana dari masyarakat dalam bentuk simpanan dan menyalurkannya kepada masyarakat dalam bentuk kredit dan/atau bentuk-bentuk lainnya dalam rangka meningkatkan taraf hidup rakyat banyak.
106,bank beku operasi/BBO/suspension,pemberhentian sementara operasi suatu bank oleh pemerintah karena dianggap tidak dapat memenuhi kewajibannya terhadap pihak ketiga.
107,bank bermasalah/problem bank troubled bank,1. bank yang mempunyai rasio atau nisbah kredit tak lancar yang tinggi apabila dibandingkan dengan modalnya; 2. bank yang dari hasil pemeriksaan nilai CAMEL-nya berada pada posisi empat (kurang sehat) atau lima (tidak sehat) pada daftar urutan kondisi bank; penilaian tersebut tidak disebarluaskan ke masyarakat; bank bermasalah akan lebih sering diperiksa daripada bank yang berkondisi sehat.
108,bank bukan bank/nonbank bank,"bank yang menerima simpanan atau memberikan pinjaman komersial, tetapi tidak melaksanakan kedua kegiatan tersebut pada waktu yang sama; bidang usahanya dibatasi, yaitu menerima simpanan atau memberi pinjaman; bank bukan bank berbeda dengan pengertian bank dalam Undang-Undang Nomor 7 Tahun 1992; sebelum dikeluarkan Undang-Undang Nomor 7 Tahun 1992, bank bukan bank dikenal dengan nama Lembaga Keuangan Bukan Bank (LKBB); dengan keluarnya Undang-Undang Nomor 7 Tahun 1992, LKBB tidak dikenal lagi, berarti badan usaha tersebut harus memilih menjadi bank atau perusahaan sekuritas."
109,bank campuran/joint venture bank,"bank umum yang didirikan oleh satu bank umum atau lebih, berkedudukan di Indonesia dan didirikan oleh warga negara Indonesia dan/atau badan hukum Indonesia yang dimiliki sepenuhnya oleh warga negara Indonesia dengan satu bank atau lebih, yang berkedudukan di luar negeri."
110,bank dagang/merchant bank,"1. bank yang memproses kartu kredit yang menerima bukti penjualan kartu-kartu bank dari pedagang eceran; pedagang yang mengeluarkan bukti penjualan menukarkan/menguangkan bukti penjualan tersebut menjadi simpanan dengan memungut biaya pemrosesan yang disebut sebagai diskon dagang; jika transaksi diajukan oleh nasabah pada bank lain, bank dagang yang memperoleh informasi mengenal bukti penjualan tersebut, melalui sistem tukar menukar informasi kartu bank, mengumpulkan jumlah tagihan dan bukti penjualan dikurangi biaya tukar menukar dari bank penerbit kartu; 2. bank investasi di Eropa yang bergabung sebagai bank dagang."
111,bank dalam likuidasi/liquidated bank,"bank yang telah dicabut izin usahanya karena tidak dapat memenuhi persyaratan yang ditetapkan sebagaimana dimaksud dalam Peraturan Pemerintah Nomor 68 Tahun 1996 tentang ketentuan dan tata cara pencabutan izin usaha, pembubaran, dan likuidasi bank karena dianggap tidak mungkin diselamatkan lagi meskipun telah dilakukan berbagai upaya penyehatan."
112,bank devisa/foreign exchange bank,bank umum yang dapat melakukan kegiatan dalam valuta asing dengan memenuhi ketentuan yang ditetapkan oleh Bank Indonesia.
113,bank ekspor impor/export-import bank,bank yang kegiatan utamanya memberikan kredit kepada perusahaan yang melakukan transaksi ekspor impor.
114,bank endorsemen,pembubuhan tanda pengesahan oleh bank dibelakang surat berharga yang mengikat bank bertanggung jawab atas pembayarannya bila penerbit tidak adapat memenuhi kewajibannya pada saat jatuh tempo.
115,bank examination,"pemeriksaan terhadap bank yang dilakukan oleh otoritas moneter untuk mengetahui ketaatan terhadap peraturan dalam kegiatan operasionalnya, yang dilakukan oleh bank sentral."
116,bank gelap,badan yang melakukan kegiatan penghimpunan dana masyarakat tanpa izin dari pihak yang berwenang.
117,bank guarantee/jaminan bank,"kesanggupan tertulis yang diberikan sebuah bank kepada seseorang yang menerima jaminan dari orang lain yang disebut pihak terjamin, bahwa bank akan membayar sejumlah uang kepadanya pada waktu yang telah ditentukan jika pihak terjamin tidak dapat memenuhi kewajibannya."
118,bank independen/independent bank,"bank umum yang dimiliki oleh komunitas masyarakat setempat, menyerap dana dari masyarakat tempat bank beroperasi dan meminjamkannya kepada masyarakat setempat; bank independen tidak berafiliasi dengan perusahaan grup usaha multibank (multibank holding company), bank ini dikenal juga dengan nama bank komunitas."
119,bank industri/industrial bank,bank yang didirikan untuk melakukan pembiayaan pada para karyawan atau pekerja; bank tersebut memiliki sumber dana dan tabungan para karyawan atau pekerja; kebanyakan bank industri saat ini melakukan merger menjadi commercial bank.
120,bank investasi/investment banking,"bank yang kegiatan utamanya menghimpun dan menyalurkan dana jangka panjang yang diperlukan oleh perusahaan dengan cara membeli, menjual, dan menjamin surat berharga yang diterbitkan oleh perusahaan; hingga sekarang jenis bank ini belum ada di Indonesia."
121,bank konsentrasi/concentration bank,"bank yang kegiatan operasionalnya lebih mengkhususkan diri pada nasabah/perusahaan besar; biasanya, bank tersebut merupakan bank utama yang melaksanakan kegiatan perbankan dan nasabah/perusahaan besar tersebut."
122,bank konsorsium/consortium bank,"bank yang pemegang sahamnya terdiri atas sekelompok bank; misalnya, BPD SI merupakan bank hasil konsorsium dari seluruh bank eks BPD se-Indonesia."
123,bank koperasi/cooperative bank,"bank yang berbentuk badan hukum koperasi; seperti halnya dengan koperasi, modal bank koperasi juga diperoleh dari simpanan wajib dan simpanan sukarela anggotanya."
124,bank koresponden/correspondent bank,bank yang berdasarkan suatu perjanjian mempunyai hubungan dengan bank lain untuk saling memberikan jasa dan/atau melakukan transaksi untuk dan atas nama bank yang berkepentingan.
125,bank pelaksana/ordering bank,bank yang menerima pesan atau instruksi dari nasabahnya untuk melaksanakan transaksi yang dipesankan atau diinstruksikan oleh nasabah bersangkutan.
126,bank pembayar cek/payer bank,"bank yang membayar cek; apabila cek tersebut dibayarkan pada bank lain, cek tersebut dikirim ke bank yang menerbitkan untuk dibayar atau diuangkan."
127,bank pembayar surat kredit berdokumen/paying bank,bank yang ditetapkan oleh bank pembuka surat kredit berdokumen sebagai pihak tertarik atas wesel yang diajukan.
128,bank penagih/collecting bank,bank yang melakukan inkaso langsung kepada pihak yang wajib membayar atau pihak tertagih.
129,bank pengonfirmasi/confirming bank,"bank yang mengonfirmasi dengan mengikatkan diri untuk membayar, mengaksep, atau mengambil alih surat-surat wesel yang ditarik."
130,bank responden/respondent bank,"bank yang secara tetap membeli cek, wesel, dan jasa lain dari bank koresponden termasuk membeli surat-surat berharga dan kliring penjualan surat-surat berharga."
131,bank sekunder/secundaire banken,"bank yang tidak menciptakan uang giral; yang tergolong sebagai bank sekunder, misalnya bank perkreditan rakyat."
132,bank sentral/central bank,"1. bank dengan tugas pokok membantu pemerintah dalam mengatur, menjaga dan memelihara kestabilan nilai rupiah, memelihara cadangan devisa, mengawasi aktivitas perbankan, memelihara rekening perbankan guna meningkatkan taraf hidup rakyat; di Indonesia bank sentral adalah Bank Indonesia; 2. sebagaimana dimaksud dalam Undang-Undang Dasar 1945 Pasal 23D [vide: UU No. 1/2004, Pasal 1 angka 24]."
133,bank statement/pernyataan kondisi keuangan bank,"pernyataan atau laporan mengenai kondisi suatu bank, misalnya neraca, perhitungan laba-rugi serta hal-hal lain yang menurut undang-undang harus dilaporkan secara berkala kepada pemegang otoritas moneter negara; istilah ini dapat diartikan pula sebagai laporan bank mengenai neraca keuangan nasabahnya yang dilaporkan berkala kepada yang bersangkutan."
134,bank syariah/islamic banking,"bank yang menggunakan sistem dan operasi perbankan berdasarkan prinsip Syariah Islam, yaitu mengikuti tata cara berusaha dan perjanjian berusaha yang dituntun oleh Al Quran dan Al Hadis, dan mengikuti tata cara berusaha dan perjanjian berusaha yang tidak dilarang oleh Al Quran dan Al Hadis."
135,bank terambil alih/bank take over/BTO,"bank yang manajemennya diambil alih oleh badan khusus seperti BPPN (IBRA) dengan menunjuk bank pendamping karena rasio modal (CAR) kurang dari persentase yang ditetapkan oleh BI, telah memperoleh bantuan likuiditas BI lebih dari jumlah tertentu dan selama jangka waktu tertentu tingkat kesehatannya tergolong tidak sehat; bank tersebut tetap beroperasi dengan pembatasan tertentu."
